study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJNA255796	SAMN02929053	SRX658403	SRR1521860	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1521860/SRR1521860.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/000/SRR1521860	GSM1441298	H3K4me1_CD8.ucsc
PRJNA255796	SAMN02929053	SRX658403	SRR1521861	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1521861/SRR1521861.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/001/SRR1521861	GSM1441298	H3K4me1_CD8.ucsc
PRJNA255796	SAMN02929046	SRX658404	SRR1521862	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/002/SRR1521862/SRR1521862.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/002/SRR1521862	GSM1441299	H3K4me1_NK.ucsc
PRJNA255796	SAMN02929046	SRX658404	SRR1521863	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1521863/SRR1521863.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/003/SRR1521863	GSM1441299	H3K4me1_NK.ucsc
PRJNA255796	SAMN02929046	SRX658404	SRR1521864	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1521864/SRR1521864.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/004/SRR1521864	GSM1441299	H3K4me1_NK.ucsc
PRJNA255796	SAMN02929047	SRX658405	SRR1521865	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/005/SRR1521865/SRR1521865.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/005/SRR1521865	GSM1441300	H3K4me1_CLP.ucsc
PRJNA255796	SAMN02929047	SRX658405	SRR1521866	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/006/SRR1521866/SRR1521866.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/006/SRR1521866	GSM1441300	H3K4me1_CLP.ucsc
PRJNA255796	SAMN02929047	SRX658405	SRR1521867	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1521867/SRR1521867.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/007/SRR1521867	GSM1441300	H3K4me1_CLP.ucsc
PRJNA255796	SAMN02929047	SRX658405	SRR1521868	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/008/SRR1521868/SRR1521868.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/008/SRR1521868	GSM1441300	H3K4me1_CLP.ucsc
PRJNA255796	SAMN02929047	SRX658405	SRR1521869	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1521869/SRR1521869.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/009/SRR1521869	GSM1441300	H3K4me1_CLP.ucsc
